Author ID,Author Name,Author Email,Street Address,zipcode
1,Mark P. O. Morford,MarkMorford@gmail.com,6939 Ridgeway Road,28749
2,Richard Bruce Wright,RichardBruceWright@gmail.com,487 Hansons Street,27973
3,Carlo D'Este,Carlo@gmail.com,2694 Dovetail Pass,72479
4,Gina Bari Kolata,GinaBariKolata@gmail.com,9711 Clarendon Lane,67053
5,E. J. W. Barber,Barber@gmail.com,8 Hanover Park,59702
6,Amy Tan,AmyTan@gmail.com,8945 Rusk Court,70142
7,Robert Cowley,RobertCowley@gmail.com,50820 North Trail,49833
8,Scott Turow,ScottTurow@gmail.com,193 Union Lane,32805
9,David Cordingly,DavidCordingly@gmail.com,9104 Blackbird Pass,18372
10,Ann Beattie,AnnBeattie@gmail.com,3 Gina Lane,38658
11,David Adams Richards,DavidAdamsRichards@gmail.com,65 Farragut Plaza,52556
12,Adam Lebor,AdamLebor@gmail.com,9057 Troy Street,72222
13,Sheila Heti,SheilaHeti@gmail.com,1680 Moose Terrace,22922
14,Jack Canfield,JackCanfield@gmail.com,95878 Scott Trail,17057
15,Loren D. Estleman,LorenEstleman@gmail.com,0850 Jenna Center,74570
16,Robert Hendrickson,RobertHendrickson@gmail.com,3 Buell Place,28613
17,John Grisham,JohnGrisham@gmail.com,08327 Hovde Lane,10095
18,Toni Morrison,ToniMorrison@gmail.com,002 Bunting Street,75977
19,The Onion,TheOnion@gmail.com,2292 Larry Center,29616
20,Celia Brooks Brown,CeliaBrooksBrown@gmail.com,795 Meadow Ridge Street,79414
21,Robynn Clairday,RobynnClairday@gmail.com,899 Hudson Park,35142
22,Kathleen Duey,KathleenDuey@gmail.com,1554 Fuller Drive,68454
23,Rich Shapero,RichShapero@gmail.com,76 Cambridge Center,02150
24,Michael Crichton,MichaelCrichton@gmail.com,695 Spenser Court,39038
25,MICHAEL CRICHTON,MICHAELCRICHTON@gmail.com,76197 Roth Crossing,77989
26,C.S. Lewis,Lewis@gmail.com,8533 Crescent Oaks Point,01984
27,ARTHUR PHILLIPS,ARTHURPHILLIPS@gmail.com,0977 Vera Trail,31197
28,Stephan Jaramillo,StephanJaramillo@gmail.com,70163 Welch Plaza,04357
29,Mordecai Richler,MordecaiRichler@gmail.com,84 Daystar Park,15963
30,Charlotte Link,CharlotteLink@gmail.com,0950 Myrtle Road,03848
31,Mark Salzman,MarkSalzman@gmail.com,7 Fisk Crossing,77342
32,Harper Lee,HarperLee@gmail.com,6384 Dahle Circle,35674
33,LAURA HILLENBRAND,LAURAHILLENBRAND@gmail.com,6 Pawling Drive,34284
34,Barbara Kingsolver,BarbaraKingsolver@gmail.com,1957 Del Sol Court,38574
35,Jo Dereske,Dereske@gmail.com,54 Paget Circle,02180
36,Jane Austen,JaneAusten@gmail.com,895 2nd Trail,44817
37,Anne Rivers Siddons,AnneRiversSiddons@gmail.com,2006 Fremont Avenue,48767
38,Dean R. Koontz,DeanKoontz@gmail.com,24779 Leroy Lane,12202
39,Mary Higgins Clark,MaryHigginsClark@gmail.com,38719 Fulton Pass,42326
40,Dean Koontz,DeanKoontz@gmail.com,2995 Green Ridge Avenue,48242
41,Patricia Cornwell,PatriciaCornwell@gmail.com,79599 Rieder Junction,05091
42,J.D. Robb,Robb@gmail.com,6440 Messerschmidt Pass,93042
43,Maeve Binchy,MaeveBinchy@gmail.com,016 Gulseth Trail,83261
44,Laura J. Mixon,LauraMixon@gmail.com,4253 Jenna Way,32097
45,Tim Lahaye,TimLahaye@gmail.com,3 Holy Cross Way,22649
46,JOHN GRISHAM,JOHNGRISHAM@gmail.com,670 Sherman Parkway,56651
47,M.D. Bernie S. Siegel,BernieSiegel@gmail.com,0 Larry Avenue,15215
48,Robert Penn Warren,RobertPennWarren@gmail.com,64720 Truax Point,13864
49,Mark Helprin,MarkHelprin@gmail.com,0596 Sunbrook Crossing,67012
50,O. Carol Simonton Md,CarolSimonton@gmail.com,37049 Columbus Plaza,66066
51,Larry McMurtry,LarryMcMurtry@gmail.com,4 Ridge Oak Avenue,08225
52,SUZANNE FISHER STAPLES,SUZANNEFISHERSTAPLES@gmail.com,2191 Novick Circle,70537
53,Carl Sagan,CarlSagan@gmail.com,9 Rowland Drive,76036
54,Aleksandr Zinoviev,AleksandrZinoviev@gmail.com,6 Bowman Crossing,16022
55,Anne Tyler,AnneTyler@gmail.com,255 Holy Cross Point,11232
56,Joseph Conrad,JosephConrad@gmail.com,61633 Dunning Park,77486
57,Deepak Chopra,DeepakChopra@gmail.com,8 Victoria Point,47001
58,Thomas Hardy,ThomasHardy@gmail.com,6 Moland Alley,39120
59,Valerie Frankel,ValerieFrankel@gmail.com,2073 Del Sol Park,28810
60,Benjamin Hoff,BenjaminHoff@gmail.com,43599 Lakewood Gardens Plaza,32163
61,Niccolo Machiavelli,NiccoloMachiavelli@gmail.com,027 Pleasure Pass,29147
62,H. Jackson Brown,JacksonBrown@gmail.com,331 Spohn Junction,07936
63,Robert A. Heinlein,RobertHeinlein@gmail.com,8151 Golf View Drive,85011
64,PHILIP PULLMAN,PHILIPPULLMAN@gmail.com,01184 Sundown Circle,90067
65,Anna Sewell,AnnaSewell@gmail.com,45773 Roth Terrace,83323
66,P.J. O'Rourke,@gmail.com,23360 Hayes Parkway,92372
67,Mike Gayle,MikeGayle@gmail.com,05 Kenwood Parkway,34044
68,Stel Pavlou,StelPavlou@gmail.com,435 Charing Cross Park,20251
69,Sarah Payne Stuart,SarahPayneStuart@gmail.com,811 Sachtjen Place,45503
70,Dan Quayle,DanQuayle@gmail.com,38 Aberg Junction,87053
71,DAVID FRUM,DAVIDFRUM@gmail.com,45327 Hallows Point,25149
72,Louis Lamour,LouisLamour@gmail.com,34398 Kennedy Plaza,14851
73,J.D. Salinger,Salinger@gmail.com,1447 Manley Trail,80236
74,J. R. R. Tolkien,Tolkien@gmail.com,361 Mcguire Point,41065
75,John Berendt,JohnBerendt@gmail.com,70 Memorial Crossing,97758
76,Jennifer Crusie,JenniferCrusie@gmail.com,0 Bellgrove Trail,73119
77,Jane Heller,JaneHeller@gmail.com,555 Kennedy Alley,33075
78,Michael Rips,MichaelRips@gmail.com,25369 Oak Valley Court,20549
79,Simon Mawer,SimonMawer@gmail.com,8 Westerfield Hill,20797
80,William Abrahams,WilliamAbrahams@gmail.com,2 Walton Street,63102
81,Robert T. Kiyosaki,RobertKiyosaki@gmail.com,27772 Cardinal Alley,95226
82,Ken Follett,KenFollett@gmail.com,395 Northridge Drive,54554
83,John F. Love,JohnLove@gmail.com,755 Miller Park,50069
84,Robert G. Allen,RobertAllen@gmail.com,64676 Dovetail Pass,92679
85,LOUIS DE BERNIERES,LOUISBERNIERES@gmail.com,01683 Lillian Terrace,65726
86,Pam Proctor,PamProctor@gmail.com,6752 Waxwing Pass,46327
87,Mitch Albom,MitchAlbom@gmail.com,1 High Crossing Hill,98526
88,Irene Gonzalez Frei,IreneGonzalezFrei@gmail.com,696 Cascade Place,52342
89,Michael Jan Friedman,MichaelJanFriedman@gmail.com,61971 Heffernan Street,10557
90,Glendon Swarthout,GlendonSwarthout@gmail.com,812 Hanover Avenue,19013
91,Neal Barrett Jr.,NealBarrett@gmail.com,70 Emmet Trail,42303
92,David Morrell,DavidMorrell@gmail.com,1499 Hintze Trail,33028
93,Sandra Brown,SandraBrown@gmail.com,258 Forest Run Road,99150
94,James Patterson,JamesPatterson@gmail.com,7102 Elka Crossing,81210
95,Stuart Woods,StuartWoods@gmail.com,04819 Corscot Parkway,83238
96,IRIS JOHANSEN,IRISJOHANSEN@gmail.com,752 Coolidge Drive,93286
97,Dan Brown,DanBrown@gmail.com,19 Macpherson Pass,99918
98,Anita Shreve,AnitaShreve@gmail.com,8 Riverside Junction,65439
99,Ann Rule,AnnRule@gmail.com,2 Garrison Drive,75386
100,LEWIS GRIZZARD,LEWISGRIZZARD@gmail.com,21692 Harbort Plaza,18820
101,Paul Theroux,PaulTheroux@gmail.com,3 Carioca Center,59911
102,Lewis Grizzard,LewisGrizzard@gmail.com,3332 Cody Court,39325
103,Charles Hickey,CharlesHickey@gmail.com,093 Kenwood Avenue,91943
104,Stephen King,StephenKing@gmail.com,6546 Merrick Alley,63160
105,Ben Mezrich,BenMezrich@gmail.com,6 Daystar Crossing,48051
106,Bill Hand,BillHand@gmail.com,7054 Pond Trail,49130
107,Tom Clancy,TomClancy@gmail.com,67 Gerald Lane,23917
108,DANA REEVE,DANAREEVE@gmail.com,44 Russell Pass,47615
109,Roy,Roy@gmail.com,6 Elka Hill,66227
110,Barbara Metzger,BarbaraMetzger@gmail.com,3 Sherman Street,93619
111,Gabriel Garcia Marquez,GabrielGarciaMarquez@gmail.com,56857 Blaine Point,84151
112,Rebecca Wells,RebeccaWells@gmail.com,36 Hoard Park,71047
113,Tony Hillerman,TonyHillerman@gmail.com,01132 Harper Park,85262
114,Robert James Waller,RobertJamesWaller@gmail.com,47276 Melrose Court,01364
115,Rachel Harris,RachelHarris@gmail.com,16216 Service Alley,19732
116,IAN MCEWAN,IANMCEWAN@gmail.com,79668 Clove Terrace,92128
117,Michael Lewis,MichaelLewis@gmail.com,8555 Pawling Trail,73456
118,Richard Zimler,RichardZimler@gmail.com,32 Mcguire Circle,63624
119,Norman Jetmundsen,NormanJetmundsen@gmail.com,7 Meadow Valley Junction,43203
120,Lorenzo Carcaterra,LorenzoCarcaterra@gmail.com,7 Granby Pass,98177
121,Anne Frasier,AnneFrasier@gmail.com,282 Eastlawn Point,46210
122,Kay Hooper,KayHooper@gmail.com,455 Katie Point,17002
123,Soren Kierkegaard,SorenKierkegaard@gmail.com,9 Ilene Pass,32507
124,Jose Ortega Y Gaset,JoseOrtegaGaset@gmail.com,808 Reindahl Drive,32862
125,Daphne Du Maurier,DaphneMaurier@gmail.com,8091 Hoard Junction,29564
126,Nathaniel Hawthorne,NathanielHawthorne@gmail.com,87080 Swallow Alley,90087
127,Laura Wolf,LauraWolf@gmail.com,20501 Mesta Alley,04673
128,LOIS DUNCAN,LOISDUNCAN@gmail.com,6542 Crest Line Trail,36783
129,Susan Grant,SusanGrant@gmail.com,1077 Mosinee Park,92887
130,Barbara Vine,BarbaraVine@gmail.com,6 Sullivan Point,93306
131,Shirley Rousseau Murphy,ShirleyRousseauMurphy@gmail.com,484 Fairfield Way,43525
132,Jane Lindskold,JaneLindskold@gmail.com,882 Eagan Circle,10970
133,Betty Smith,BettySmith@gmail.com,8272 Kings Place,71431
134,Cybill Shepherd,CybillShepherd@gmail.com,548 Fair Oaks Place,72734
135,Stewart O'Nan,Stewart@gmail.com,91544 Fairfield Point,35620
136,David Baldacci,DavidBaldacci@gmail.com,38 Meadow Vale Park,44430
137,Douglas Adams,DouglasAdams@gmail.com,26147 Steensland Junction,30101
138,Mary Lawson,MaryLawson@gmail.com,28 Becker Terrace,45030
139,Willa Cather,WillaCather@gmail.com,86530 Melrose Center,64436
140,Olivia Goldsmith,OliviaGoldsmith@gmail.com,83 Oakridge Crossing,91503
141,Helen Fielding,HelenFielding@gmail.com,2 Raven Plaza,14767
142,Franklin W. Dixon,FranklinDixon@gmail.com,7 John Wall Parkway,36426
143,Lilian Jackson Braun,LilianJacksonBraun@gmail.com,1 Warbler Drive,14853
144,Holly Virden,HollyVirden@gmail.com,1 Bartillon Junction,64109
145,H. Norman Wright,NormanWright@gmail.com,995 Red Cloud Point,03054
146,Piers Anthony,PiersAnthony@gmail.com,230 Leroy Plaza,12143
147,RAY BRADBURY,RAYBRADBURY@gmail.com,71 Johnson Way,78799
148,Schiller,Schiller@gmail.com,03 Ridgeview Court,37737
149,Ray Bradbury,RayBradbury@gmail.com,0570 Sheridan Avenue,33161
150,Raymond Chandler,RaymondChandler@gmail.com,6 Buena Vista Terrace,81415
151,Paolo Coelho,PaoloCoelho@gmail.com,13174 Sommers Way,60108
152,Fay Weldon,FayWeldon@gmail.com,4 Evergreen Point,47932
153,Arabella Weir,ArabellaWeir@gmail.com,01854 Moulton Trail,55964
154,Kiana Davenport,KianaDavenport@gmail.com,8891 Killdeer Alley,87939
155,Sue Townsend,SueTownsend@gmail.com,26484 Sycamore Alley,68771
156,Renan Demirkan,RenanDemirkan@gmail.com,327 Kipling Way,53062
157,Michael Moore,MichaelMoore@gmail.com,3807 Sutteridge Terrace,55024
158,Jonathan Franzen,JonathanFranzen@gmail.com,66779 Pierstorff Circle,01604
159,Jerome D. Salinger,JeromeSalinger@gmail.com,482 3rd Trail,15020
160,James Joyce,JamesJoyce@gmail.com,3323 Brickson Park Court,76623
161,Joanna Trollope,JoannaTrollope@gmail.com,70940 Crowley Center,94520
162,Milan Kundera,MilanKundera@gmail.com,850 Ilene Point,59641
163,Arundhati Roy,ArundhatiRoy@gmail.com,9 Kensington Park,50076
164,Richard North Patterson,RichardNorthPatterson@gmail.com,2 Eliot Plaza,30124
165,Lorna Landvik,LornaLandvik@gmail.com,5 Southridge Junction,37361
166,Arthur Golden,ArthurGolden@gmail.com,2356 Superior Junction,10546
167,KENT HARUF,KENTHARUF@gmail.com,624 Forest Run Terrace,99357
168,Patricia D. Cornwell,PatriciaCornwell@gmail.com,8 Portage Center,08083
169,Kathleen E. Woodiwiss,KathleenWoodiwiss@gmail.com,2 Meadow Ridge Circle,62977
170,Belva Plain,BelvaPlain@gmail.com,45900 Northfield Place,56218
171,MARK HADDON,MARKHADDON@gmail.com,4 Myrtle Terrace,45724
172,ANN BRASHARES,ANNBRASHARES@gmail.com,1908 Buena Vista Trail,05753
173,Erich Segal,ErichSegal@gmail.com,3 Londonderry Hill,35769
174,Elizabeth Adler,ElizabethAdler@gmail.com,28 Spohn Terrace,30720
175,Nicholas Sparks,NicholasSparks@gmail.com,50342 Londonderry Junction,62694
176,JOHN SAUL,JOHNSAUL@gmail.com,76474 Dwight Trail,95453
177,LORNA LANDVIK,LORNALANDVIK@gmail.com,93752 Westend Pass,98539
178,Steve Thayer,SteveThayer@gmail.com,2186 Elka Drive,18407
179,Tracy Chevalier,TracyChevalier@gmail.com,4603 Fisk Court,32452
180,Judith Kelman,JudithKelman@gmail.com,7 Hermina Center,44023
181,Michael Palmer,MichaelPalmer@gmail.com,26 International Drive,36065
182,Norman Bridwell,NormanBridwell@gmail.com,4710 Dryden Court,79092
183,Frank McCourt,FrankMcCourt@gmail.com,465 Eliot Avenue,30121
184,Malachy McCourt,MalachyMcCourt@gmail.com,7 Maryland Circle,66404
185,Mari Sandoz,MariSandoz@gmail.com,61 Dorton Park,22639
186,Anne Perry,AnnePerry@gmail.com,06768 Towne Way,12471
187,ALEXANDER MCCALL SMITH,ALEXANDERMCCALLSMITH@gmail.com,5325 Lillian Road,71406
188,Gregory Maguire,GregoryMaguire@gmail.com,25 Declaration Lane,98146
189,Yann Martel,YannMartel@gmail.com,870 Bobwhite Circle,50672
190,Ruth Rendell,RuthRendell@gmail.com,3 Manitowish Alley,33859
191,Al Franken,Franken@gmail.com,1 Spohn Road,95326
192,DONNA TARTT,DONNATARTT@gmail.com,0623 Elgar Place,80742
193,Terry Pratchett,TerryPratchett@gmail.com,7983 Magdeline Park,90038
194,E. B. White,White@gmail.com,70 Gerald Terrace,56461
195,J. M. Barrie,Barrie@gmail.com,1 Northland Park,91932
196,Mary O'Hara,Mary@gmail.com,0 Grover Hill,71166
197,Louise Rennison,LouiseRennison@gmail.com,8 Fuller Junction,55168
198,Kenneth Grahame,KennethGrahame@gmail.com,5 Arrowood Drive,75560
199,Bernard Cornwell,BernardCornwell@gmail.com,3560 Loomis Terrace,23255
200,Charles de Lint,CharlesLint@gmail.com,5981 Muir Park,97913
201,Edward John Moreton Drax Plunkett Dunsany,EdwardJohnMoretonDraxPlunkettDunsany@gmail.com,62691 Fremont Court,91203
202,Georgette Heyer,GeorgetteHeyer@gmail.com,798 Morningstar Hill,08046
203,OSCAR WILDE,OSCARWILDE@gmail.com,76969 Straubel Court,57442
204,Ted Hughes,TedHughes@gmail.com,0431 Scott Center,93060
205,ROALD DAHL,ROALDDAHL@gmail.com,24 Little Fleur Parkway,21241
206,Donna Jo Napoli,DonnaNapoli@gmail.com,002 Ridge Oak Road,05155
207,A. S. Byatt,Byatt@gmail.com,0 Hoffman Street,30146
208,Tanuja Desai Hidier,TanujaDesaiHidier@gmail.com,0803 Mosinee Pass,79338
209,SOPHIE KINSELLA,SOPHIEKINSELLA@gmail.com,16 Drewry Plaza,07477
210,Isabel Wolff,IsabelWolff@gmail.com,60 Truax Center,10549
211,Louisa May Alcott,LouisaMayAlcott@gmail.com,864 Alpine Circle,57038
212,George Orwell,GeorgeOrwell@gmail.com,980 Sherman Park,13054
213,Isabel Allende,IsabelAllende@gmail.com,1108 Vera Terrace,83448
214,Ellen Datlow,EllenDatlow@gmail.com,76170 Meadow Vale Pass,09503
215,Charles Dickens,CharlesDickens@gmail.com,05 Twin Pines Center,08068
216,A.S. BYATT,BYATT@gmail.com,1 Center Plaza,29532
217,Joseph Heller,JosephHeller@gmail.com,5 Arizona Crossing,69171
218,John Galsworthy,JohnGalsworthy@gmail.com,5321 Holmberg Plaza,40506
219,Enid Blyton,EnidBlyton@gmail.com,05520 Sloan Circle,62046
220,Neil Gaiman,NeilGaiman@gmail.com,411 Starling Crossing,59446
221,Alan Moore,AlanMoore@gmail.com,736 Gale Center,54888
222,Trudy Suggs,TrudySuggs@gmail.com,70562 Mifflin Drive,33738
223,Tom Wolfe,TomWolfe@gmail.com,618 Emmet Way,54302
224,Brady Udall,BradyUdall@gmail.com,374 Fulton Alley,98330
225,Homer Hickam,HomerHickam@gmail.com,855 Oxford Place,01341
226,Pearl Abraham,PearlAbraham@gmail.com,2 Hoffman Court,16554
227,Sebastian Junger,SebastianJunger@gmail.com,83 Buena Vista Trail,10120
228,Karen Armstrong,KarenArmstrong@gmail.com,886 Buhler Point,75779
229,Mary Barnard,MaryBarnard@gmail.com,2 Fordem Pass,78288
230,David Brin,DavidBrin@gmail.com,6059 Myrtle Parkway,04680
231,T. Coraghessan Boyle,CoraghessanBoyle@gmail.com,492 Shasta Center,98940
232,Paul Woodruff,PaulWoodruff@gmail.com,055 North Court,00610
233,Lynda Madaras,LyndaMadaras@gmail.com,9 Derek Trail,00660
234,Stephen McCauley,StephenMcCauley@gmail.com,3673 Old Gate Place,02451
235,Isabelle Holland,IsabelleHolland@gmail.com,99074 Kensington Court,07842
236,Pam Conrad,PamConrad@gmail.com,001 Golf View Terrace,76541
